# Coulesia story graph — alignment-keyed grid
#
# Every level past 1 has up to 9 nodes, one per D&D alignment.
# Node IDs: "<level>-<alignment-code>" where the code is one of
#   lg ng cg   ln tn cn   le ne ce
# Routing: each choice button has data-law and data-good (integers).
# story.js applies the deltas, computes the new alignment bucket
# (threshold T=2), and routes to "<level+1>-<bucket>.html"
# automatically. No data-next attributes.
#
# Exceptions to the 9-per-level rule:
#   - Level 0 is one intro node (0-a)
#   - Level 1 is gender-distinct (1-m / 1-f), routed by 0-a's form
#
# Vacant slots (alignments not first-pass reachable at a given level)
# are listed below for tracking. They may stay vacant or be filled
# later if a re-entry mechanism is added.

# ── Beat anchors ─────────────────────────────────────────────────────
# L0  Waking (name, gender)
# L1  The man in the ditch
# L2  Your hands' first wage
# L3  The stranger who reads you
# L4  The second man in the ditch
# L5  A name from before
# L6  The first reckoning
# L7  The road answers
# L8  The threshold
# L9  What the room costs

# ── Level 0 ──────────────────────────────────────────────────────────
0-a                                    # intro; form routes to 1-m / 1-f

# ── Level 1 ──────────────────────────────────────────────────────────
1-m   male body, man in the ditch
1-f   female body, man in the ditch
# Each L1 node has three choices with the same deltas:
#   help  +2 law / +2 good   → state (2, 2)   → 2-lg
#   hide  -2 law / +1 good   → state (-2, 1)  → 2-cn
#   rob   -1 law / -3 good   → state (-1, -3) → 2-ne

# ── Level 2 — Your hands' first wage ─────────────────────────────────
#   3-ln 3-cn 3-ne

# L3 choice deltas and L4 destinations:
#   3-lg  state (3,3)
#     A  +1/+1  → (4,4)   → 4-lg   hold the lie at the registry
#     B  -3/+1  → (0,4)   → 4-ng   bolt with him through the dye-yard
#     C   0/-4  → (3,-1)  → 4-ln   recant cleanly at the desk
#   3-ng  state (-1,3)
#     A  +3/0   → (2,3)   → 4-lg   pay her coin, sign your name
#     B  -1/+2  → (-2,5)  → 4-cg   stay; work the infirmary at no fee
#     C  -2/-3  → (-3,0)  → 4-cn   rob Mira in the night
#   3-cg  state (-3,3)
#     A  -1/+1  → (-4,4)  → 4-cg   go with Behnam to the coast
#     B  +2/+1  → (-1,4)  → 4-ng   part at the goat-track; walk east alone
#     C  +3/-3  → (0,0)   → 4-tn   take the cover, then take the horse
#   3-tn  state (1,0)
#     A  +2/+1  → (3,1)   → 4-ln   buy news from Razin cleanly
#     B  -2/+2  → (-1,2)  → 4-ng   speak the morning to him
#     C  -1/-3  → (0,-3)  → 4-ne   rob the sleeping pedlar
#   3-le  state (2,-2)
#     A  +2/-1  → (4,-3)  → 4-le   take the Church's bounty door
#     B  -1/+3  → (1,1)   → 4-tn   refuse the three doors; walk into town empty
#     C  -1/-3  → (1,-5)  → 4-ne   take Mehri's door; walk the child to the ship
#   3-ce  state (-2,-2) or (-2,-4)
#     A  +3/0   → (1,-2)/(1,-4)   → 4-ne   apprentice to the question
#     B  -1/+3  → (-3,1)/(-3,-1)  → 4-cn   refuse, ride to warn the farmhouse
#     C   0/-3  → (-2,-5)/(-2,-7) → 4-ce   cross the four paces; kill the priest

# ── Level 4 — The second man in the ditch ────────────────────────────
4-lg   The Deacon at the Mile      (a Church deacon waylaid at a wagon-stop east of Sadaiziche)
4-ng   The Bond-Boy in the Byre    (a beaten houseboy hiding under thatch in country east)
4-cg   The Courier Without a Horse (a Mardesran with a list of six names, dying on Soraya's table)
4-ln   The Pin on the Writ         (a brass pin, a culvert, and a man named Hamza in the dust)
4-tn   The Stranger in the Dust    (a drunken frontier trooper thrown by his mare at a poplar)
4-cn   The Chain at the Bend       (eleven debt-bondsmen on a single iron chain at a culvert)
4-le   The Brick Floor             (a roadside post, a brazier, a man on a table, Mehrdad at the basin)
4-ne   The Long Light              (a stroke-felled traveller alone at the verge, pockets intact)
4-ce   The Smoke at the Bend       (a farmstead burning, three riders on the next ridge)

# L4 choice deltas and L5 destinations:
#   4-lg  state (2,3) or (4,4)
#     A  +2/+2  → (4,5)/(6,6)    → 5-lg   ride for the post
#     B  -3/+2  → (-1,5)/(1,6)   → 5-ng   cut him loose, off the road
#     C  +1/-3  → (3,0)/(5,1)    → 5-ln   take the grey, ride east on the warrant
#   4-ng  state (0,4), (-1,4), or (-1,2)
#     A  +3/0   → (3,4)/(2,4)/(2,2)    → 5-lg   walk him to the Church post
#     B  -2/+2  → (-2,6)/(-3,6)/(-3,4) → 5-cg   cut the cord, the goat-track south
#     C  +1/-3  → (1,1)/(0,1)/(0,-1)   → 5-tn   read the brass, sell him back
#   4-cg  state (-2,5) or (-4,4)
#     A  -1/+2  → (-3,7)/(-5,6)  → 5-cg   take the strip, run the half-bell
#     B  +3/+1  → (1,6)/(-1,5)   → 5-ng   stay with him, let Soraya pick
#     C   0/-4  → (-2,1)/(-4,0)  → 5-cn   slip the strip, sell at the south gate
#   4-ln  state (3,-1) or (3,1)
#     A  +2/+1  → (5,0)/(5,2)    → 5-ln/5-lg  speak the writ, walk Hamza in
#     B  -2/+2  → (1,1)/(1,3)    → 5-tn/5-ng  lie to the writ, return at moonrise
#     C  +2/-3  → (5,-4)/(5,-2)  → 5-le   take the writ further; cut his purse
#   4-tn  state (0,0) or (1,1)
#     A  +1/+2  → (1,2)/(2,3)    → 5-ng/5-lg  crouch and keep the stranger
#     B   0/-1  → (0,-1)/(1,0)   → 5-tn   walk past, cross the verge
#     C  -1/-3  → (-1,-3)/(0,-2) → 5-ne   take the mare, leave the trooper
#   4-cn  state (-3,0), (-3,1), or (-3,-1)
#     A  -2/+2  → (-5,2)/(-5,3)/(-5,1)    → 5-cg/5-cn  the boy, the pin, the broom
#     B  -3/-1  → (-6,-1)/(-6,0)/(-6,-2)  → 5-cn/5-ce  the pebble, the middle rider's pouch
#     C  +3/-3  → (0,-3)/(0,-2)/(0,-4)    → 5-ne   sell what you know to the rear rider
#   4-le  state (4,-3)
#     A  +2/-3  → (6,-6)   → 5-le   apprentice on the table
#     B  +1/+2  → (5,-1)   → 5-ln   witness only, sign the writ
#     C  -3/+3  → (1,0)    → 5-tn   tip the brazier, cut the cords
#   4-ne  state (0,-3), (1,-5), (1,-2), or (1,-4)
#     A   0/-3  → (0,-6)/(1,-8)/(1,-5)/(1,-7) → 5-ne   strip cleanly
#     B  +2/+1  → (2,-2)/(3,-4)/(3,-1)/(3,-3) → 5-le/5-ln  report at the next post
#     C  -1/+2  → (-1,-1)/(0,-3)/(0,0)/(0,-2) → 5-tn/5-ne  bury him under the long light
#   4-ce  state (-2,-5) or (-2,-7)
#     A  -1/+4  → (-3,-1)/(-3,-3) → 5-cn/5-ce  ride the three down for the family
#     B   0/-3  → (-2,-8)/(-2,-10) → 5-ce   strip the yard before the smoke draws a cart
#     C  -2/-4  → (-4,-9)/(-4,-11) → 5-ce   silence the woman; ride east; join the band

# ── Level 5 — A name from before ─────────────────────────────────────
# The player's pre-amnesia identity is Khorshid Daiyani — son of a
# Mardesran mother and a Khvordemian father at Khaboran; taken into the
# Church seminary at thirteen; trained partway as a question-priest at
# Khaboran (the same order as Mehrdad's); left the order at nineteen
# to work as a field-informer mapping Mardesran cells. He has not
# reported in four years. The order has held his column half-paid in
# Father Karim's paybook. Recent operation: embedded in the Sadaiziche-
# coastal route; struck down on the road east of Rabad at first light
# of the morning the story opens. Identifying markers in body memory:
# wrist scar (manacle), Khaboran knife-fold at the coat-lining's third
# button, steady warden-questioning posture, the names Daiyan and
# Khorshid surfacing under lies.

5-lg   The Page in the Magistrate's Hand   (Magistrate-Father Hossein on circuit, post-priest's table)
5-ng   Bahram at the Long Table            (a half-brother cooper at a wayside inn's long pine table)
5-cg   Maziar at the Cold Spring           (a former order field-man, turned, at a night fire)
5-ln   Captain Faramarz at the Desk        (imperial border captain arrives at the warden-post with a folder)
5-tn   Parvin at the Trough                (a wash-woman of Khaboran years, now an inn-yard trough)
5-cn   Roshanak in the Crowd               (a former lover at a country market's cloth-stall)
5-le   Father Karim's Ledger               (the order's paymaster from Khaboran; strong-box on the table)
5-ne   Cyrus at the Fence's Door           (a Mardesran whose family Khorshid took — at Bardas's door)
5-ce   Behdad in the Hide-Fire             (Cyrus's brother, leader of a bandit-bowl in the ridge)

# L5 choice deltas and L6 destinations:
#   5-lg  state ~(4,4); also (2,3)/(5,2) from other parents
#     A  +2/+2  → (6,6)/(7,5)/(4,5)        → 6-lg   answer the magistrate, close the column
#     B  -3/+1  → (1,5)/(-1,4)/(2,3)       → 6-ng   walk past, the name is not yours yet
#     C  +2/-3  → (6,1)/(4,0)/(7,-1)       → 6-ln   bargain back into the order on terms
#   5-ng  state ~(1,3); also (-3,6)/(1,2) from other parents
#     A  -2/+3  → (-1,6)/(-5,9)/(-1,5)     → 6-ng/6-cg  walk out with Bahram
#     B  +1/+2  → (2,5)/(-2,8)/(2,4)       → 6-lg/6-cg  finish the cup, owe a returning
#     C  +2/-3  → (3,0)/(-1,3)/(3,-1)      → 6-ln/6-ng/6-ln  make him eat the lie
#   5-cg  state ~(-3,5); also (-5,6)/(-3,7)
#     A  -1/+2  → (-4,7)/(-6,8)            → 6-cg   walk out with Maziar to the coast
#     B  +2/+2  → (-1,7)/(-3,8)            → 6-ng/6-cg  ask back, take the night as an account-book
#     C   0/-4  → (-3,1)/(-5,2)            → 6-cn   the Khaboran fold at the third button
#   5-ln  state ~(5,0); also (3,-1)/(3,1)
#     A  +2/+1  → (7,1)/(5,0)              → 6-ln   walk to the desk, hands flat
#     B  -2/+2  → (3,2)/(1,1)              → 6-lg/6-tn  the window at the shoulder
#     C  +2/-3  → (7,-3)/(5,-4)            → 6-le   bargain at the table-edge
#   5-tn  state ~(0,0); also (-1,-2)/(1,0)
#     A  +1/+2  → (1,2)/(0,0)/(2,2)        → 6-ng/6-tn/6-lg  ask Parvin at the kitchen door
#     B   0/-1  → (0,-1)/(-1,-3)/(1,-1)    → 6-tn/6-ne/6-tn  walk out by the road
#     C  -1/-3  → (-1,-3)/(-2,-5)/(0,-3)   → 6-ne/6-ce/6-ne  the hand at her neck
#   5-cn  state ~(-4,0); also (-6,-1)/(-2,1)
#     A  -2/+1  → (-6,1)/(-8,0)/(-4,2)     → 6-cn/6-cn/6-cg  set back to wall, ask
#     B  -3/-1  → (-7,-1)/(-9,-2)/(-5,0)   → 6-cn/6-ce/6-cn  smile and step past
#     C  -1/-4  → (-5,-4)/(-7,-5)/(-3,-3)  → 6-ce   the third button at the lining
#   5-le  state ~(5,-2); also (4,-3)/(3,-3)
#     A  +2/-3  → (7,-5)/(6,-6)/(5,-6)     → 6-le   reopen the column at the third-year margin
#     B  +3/+2  → (8,0)/(7,-1)/(6,-1)      → 6-ln   close it clean, take what is owed
#     C  -1/+2  → (4,0)/(3,-1)/(2,-1)      → 6-ln   close with nothing
#   5-ne  state ~(0,-5); also (-1,-3)/(1,-7)
#     A   0/-4  → (0,-9)/(-1,-7)/(1,-11)   → 6-ne   the knife across the counter
#     B  +1/-2  → (1,-7)/(0,-5)/(2,-9)     → 6-ne   purse plus package on the counter
#     C  -1/+3  → (-1,-2)/(-2,0)/(0,-4)    → 6-ne/6-cn/6-ne  hands flat on the counter
#   5-ce  state ~(-3,-9); also (-2,-7)/(-4,-11)
#     A  -2/-4  → (-5,-13)/(-4,-11)/(-6,-15) → 6-ce   take Behdad first
#     B  +1/-3  → (-2,-12)/(-1,-10)/(-3,-14) → 6-ce   kneel at the fire, offer the third name
#     C  -2/+3  → (-5,-6)/(-4,-4)/(-6,-8)    → 6-ce   the third name reads the order's drawer

# ── Level 6 — The first reckoning ────────────────────────────────────
# Beat anchor: the bell after the recognition. Whatever the L5 witness
# named has begun, by the next morning, to do its own work on the player.
# A small piece of trouble has come up the road because of who the
# player has now been told they are — a writ, a runner, a stranger
# already on the path, a leader on a spur expecting the second-rider
# to speak. Every L6 node is a first concrete act-as-Khorshid (or first
# explicit act-not-as-Khorshid).

6-lg   The Girl at the Post Door         (the writ at the third line for a man on the brick-floor table at Bagh-e-Sang)
6-ng   The Boy at the Verge              (a struck boy in the dust of a country road; a soldier's grey mare bridle-down ten paces on)
6-cg   The Cliff Above the Boat          (a switchback path to a network boat; a Khaboran-fold man on the path behind you)
6-ln   The Daybook's Open Column         (the warden-post's six writs; the empty column at the head with your name)
6-tn   The Ferry at the Reed-Bank        (Hassan of Behbahan opposite on the bench, reading the seventh fold at your right hand)
6-cn   The Rooflight Above the Dyer's Yard (Mira's runner at the willow; three at the front of the dyer's shop in a quarter-bell)
6-le   The Brick-Floor Post at Bagh-e-Sang (Behshad on the table, the iron at the brazier, the case-file's third name)
6-ne   The Other Counter                  (a fence's man at Karkand reading your cuff; Bardas's runner two bells west)
6-ce   The Bowl's First Ride              (eight riders on a spur above Farzad's almond-orchards; the leader asks you to speak)

# L6 choice deltas and L7 destinations:
#   6-lg  state ~(4,4) to (7,5)
#     A  +2/+2  → (6,6)/(9,7)            → 7-lg   write the writ, ride south at the order's pace
#     B  -3/+2  → (1,6)/(4,7)            → 7-ng/7-lg  ride without the writ, use the old field-signs
#     C  +1/-3  → (5,1)/(8,2)            → 7-ln/7-lg  write the writ at terms with a tithe
#   6-ng  state ~(1,5) to (3,4)
#     A  -2/+3  → (-1,8)/(1,7)           → 7-ng   take the boy; back to the country house
#     B  +2/+2  → (3,7)/(5,6)            → 7-lg   stay; read the panniers; wait for the mare's man
#     C   0/-3  → (1,2)/(3,1)            → 7-tn/7-lg  take the mare; both panniers; ride on
#   6-cg  state ~(-4,6) to (-6,8)
#     A  -1/+2  → (-5,8)/(-7,10)         → 7-cg   take the man on the path at four; tie him; sail
#     B  +3/-3  → (-1,3)/(-3,5)          → 7-tn/7-cg  stand at the path's centre; speak to the lining
#     C  -3/+2  → (-7,8)/(-9,10)         → 7-cg   over the lip on the goat-track; reach the boat first
#   6-ln  state ~(3,1) to (7,1)
#     A  +2/+1  → (5,2)/(9,2)            → 7-ln/7-lg  sign the column; ride the six in order
#     B  -2/+2  → (1,3)/(5,3)            → 7-tn/7-lg  take the folder; do not sign; find the sixth alone
#     C  +2/-3  → (5,-2)/(9,-2)          → 7-le/7-ln  sign; read the sixth's tithe-line; take the silver
#   6-tn  state ~(0,0) to (2,2)
#     A  +1/+2  → (1,2)/(3,4)            → 7-tn/7-ng/7-lg  speak with Hassan; walk to the next inn
#     B   0/-1  → (0,-1)/(2,1)           → 7-tn   step off the boat first; do not look back
#     C  -1/-3  → (-1,-3)/(1,-1)         → 7-ne/7-tn  take the half-copper at the bank
#   6-cn  state ~(-5,-1) to (-8,2)
#     A  -2/+2  → (-7,1)/(-10,4)         → 7-cn/7-cg  knife down; out by the rooflight with the woman
#     B  -3/-1  → (-8,-2)/(-11,1)        → 7-cn/7-ce  switch coats; leave her on the blanket
#     C  -1/-4  → (-6,-5)/(-9,-2)        → 7-ce/7-cn  knife at the throat; take coat and coin
#   6-le  state ~(5,-2) to (7,-6)
#     A  +2/-3  → (7,-5)/(9,-9)          → 7-le   sit at the table; work the iron; share the orchard
#     B  +3/ 0  → (8,-2)/(10,-6)         → 7-ln/7-le  close the case-file; carry the third name to Khaboran
#     C  +1/-4  → (6,-6)/(8,-10)         → 7-le   extend the post's parish circuit; build
#   6-ne  state ~(0,-7) to (1,-11)
#     A   0/-4  → (0,-11)/(1,-15)        → 7-ne   take the fence's man; out by the back
#     B  +1/-2  → (1,-9)/(2,-13)         → 7-ne/7-le  buy the half-bell; the second boy west
#     C  -1/+3  → (-1,-4)/(0,-8)         → 7-ne/7-cn  hands flat; ask for a back wall
#   6-ce  state ~(-3,-13) to (-6,-15)
#     A  -2/-4  → (-5,-17)/(-8,-19)      → 7-ce   speak the door, the wall, the boy at the well
#     B  +1/-3  → (-2,-16)/(-5,-18)      → 7-ce   the post-priest's side-board at Bagh-e-Sang
#     C  -2/+3  → (-5,-10)/(-8,-12)      → 7-ce   take the bounty out of Farzad's drawer; leave the wife

# ── Level 7 — The road answers ───────────────────────────────────────
# Beat anchor: by the evening or next morning of L6's first act, the
# world has had its half-bell to respond, and the response is now at
# the player. A second party has come up: a senior of the order, the
# soldier whose mare you took, a coast-cutter, a sealed letter, a
# circuit-clerk with a description-sheet, a wash-woman with talk of
# horsemen, a bishop's folder, a cart at the salt-line, an imperial
# riding on the coast-track. The L6 act is no longer in the player's
# hand alone.

7-lg   The Magistrate's Second Hand        (Hossein on the doorstep at sundown with a Khaboran red-cord packet of three writs)
7-ng   The Mare's Man at the Yard          (Manuchehr of the second tower at Sayyaf comes through the gate with the grey at the rein)
7-cg   The Cutter in the Lee               (a coast-warden's cutter at the next headland, eight crew, the brass piece at the bow)
7-ln   The Sealed Letter from Khaboran     (a Khaboran post-runner at sundown with the order's wax at the centre of the desk)
7-tn   The Folded Paper at the Walnut Inn  (a Khaboran circuit-clerk at the chimney-table with a description-sheet under his elbow)
7-cn   The Stream-Bend at the Washing Stones (a country wash-woman with talk of two horsemen and a three-office description)
7-le   The Bishop's Folder at Brick-Floor   (the Sadaiziche bishop's green linen on the post-priest's morning table; three head-cases)
7-ne   The Cart at the Salt-Line            (an ox-cart at the salt's edge with the Karkand fence's man canvas-wrapped in the back)
7-ce   The Riding Down the Coast-Track      (an imperial riding of twenty, Khaboran red cord at the lead; quarter-bell to decide the bowl)

# L7 choice deltas and L8 destinations:
#   7-lg  state ~(6,6) to (9,7); also (2,2) from a low-arrival
#     A  +2/+1  → (8,7)/(11,8)/(4,3)      → 8-lg
#     B  -2/+3  → (4,9)/(7,10)/(0,5)      → 8-lg/8-ng  decline the packet; walk out
#     C  +3/-1  → (9,5)/(12,6)/(5,1)      → 8-lg/8-ln  take and settle the rate
#   7-ng  state ~(1,7) to (5,6); also low (-1,8)
#     A  +1/+2  → (2,9)/(6,8)/(0,10)      → 8-lg/8-ng  stay; walk out together at morning
#     B  -3/+2  → (-2,9)/(2,8)/(-4,10)    → 8-cg/8-lg/8-cg  send them on alone
#     C  +2/-3  → (3,4)/(7,3)/(1,5)       → 8-lg/8-ng  settle for the silver olive
#   7-cg  state ~(-4,8) to (-7,10); also (-3,5) from low
#     A  -1/+3  → (-5,11)/(-8,13)/(-4,8)  → 8-cg
#     B  +2/+2  → (-2,10)/(-5,12)/(-1,7)  → 8-cg/8-ng  toward the cutter with a lie
#     C  -3/+2  → (-7,10)/(-10,12)/(-6,7) → 8-cg
#   7-ln  state ~(5,2) to (9,2); also low (3,1)
#     A  +2/+1  → (7,3)/(11,3)/(5,2)      → 8-lg/8-ln
#     B  +3/-1  → (8,1)/(12,1)/(6,0)      → 8-ln
#     C  -2/+2  → (3,4)/(7,4)/(1,3)       → 8-lg/8-ng
#   7-tn  state ~(0,0) to (2,2); also (-1,-1)/(1,1)
#     A   0/+1  → (0,1)/(2,3)/(1,0)       → 8-tn/8-lg
#     B  +1/ 0  → (1,0)/(3,2)/(0,-1)      → 8-tn/8-lg
#     C  -2/-3  → (-2,-3)/(0,-1)/(-1,-2)  → 8-ce/8-tn/8-ne
#   7-cn  state ~(-7,1) to (-10,4); also (-5,0)/(-9,-2)
#     A  -1/+2  → (-8,3)/(-11,6)/(-6,2)   → 8-cn/8-cg
#     B  -3/ 0  → (-10,1)/(-13,4)/(-8,0)  → 8-cn/8-cg
#     C  -2/-3  → (-9,-2)/(-12,1)/(-7,-3) → 8-ce/8-cn
#   7-le  state ~(7,-5) to (9,-9); also low (5,-2)
#     A  +2/-3  → (9,-8)/(11,-12)/(7,-5)  → 8-le
#     B  +3/ 0  → (10,-5)/(12,-9)/(8,-2)  → 8-le/8-ln  three rides at the bishop's rate
#     C  +1/-4  → (8,-9)/(10,-13)/(6,-6)  → 8-le   build; three seasons; a higher office
#   7-ne  state ~(0,-11) to (1,-15); also low (-1,-4)
#     A  -1/-3  → (-1,-14)/(0,-18)/(-2,-7) → 8-ne/8-ce  take the man behind first
#     B  +2/-2  → (2,-13)/(3,-17)/(1,-6)   → 8-le/8-ne  buy off the cart
#     C  -2/+2  → (-2,-9)/(-1,-13)/(-3,-2) → 8-ce/8-ne/8-cn  speak two-men-west
#   7-ce  state ~(-5,-17) to (-8,-19)
#     A  -1/-3  → (-6,-20)/(-9,-22)        → 8-ce   second door; sun at the bowl's back
#     B  +1/-4  → (-4,-21)/(-7,-23)        → 8-ce   dissolve; reconstitute at the cold spring
#     C  -3/-2  → (-8,-19)/(-11,-21)       → 8-ce   walk in as apprentice; take twenty at the rim

# ── Level 8 — The threshold ──────────────────────────────────────────
# Beat anchor: by the bell of this morning (or the next evening), the
# road has narrowed to a single line and the player is at the door of
# the Place the L1-L7 arc has been pulling toward. A fourth voice —
# someone from before the morning of the man in the ditch, never seen
# at any previous level — is at that door. The choices are: cross,
# pause, or turn.

8-lg   The Matron at the South Stair       (the seminary's south-stair parlour at Khaboran; the matron of the year of the second snow at her chair by the window; three writs on the side-table)
8-ng   The Doorstep at Behesht             (the fourth house on the lane under the chestnut; Banu Mahin, Khorshid's half-aunt, folding the cooper's wife's washing at the doorstep)
8-cg   The Reader at the Cold Spring       (a half-roof at the foot of a basalt slot above the southern spur; the Reader of Behesht at the fire with the mother's mother's book)
8-ln   Faramarz's Folder Closes            (a senior warden-post's back room; Captain Faramarz at the window with the brown-leather red-cord folder open on the desk)
8-tn   Master Yazdan at the Ferry-Bench    (a ferry-yard at a junction crossing; the old field-master at the bench with a piece of dry bread and a sleeping grey lurcher)
8-cn   Asha Down the Ridge                 (a herder's shelter at a fold of country east of the dyer's town; Asha at the slope's last step, having come down from her fire)
8-le   The Cooper's Mother at the Door     (Behesht's same fourth house; the morning's hand in dust-blue at the saddle; Banu Mahin at the doorstep, opposite valence)
8-ne   Bardas at the Inner Counter         (a back room a half-day west of Karkand; Bardas at his counter; the canvas-wrapped bundle on the back table)
8-ce   Cyrus's Letter at the Bothy         (the bowl's winter-bothy at the cold spring above the southern spur; Asha's runner at the doorway with Cyrus's folded letter)

# L8 choice deltas and L9 destinations:
#   8-lg  state ~(8,7) to (11,8); also (4,3) from low-arrival
#     A  +2/+1  → (10,8)/(13,9)/(6,4)      → 9-lg
#     B  +1/+2  → (9,9)/(12,10)/(5,5)      → 9-lg
#     C  -3/+2  → (5,9)/(8,10)/(1,5)       → 9-lg/9-ng  decline; walk out
#   8-ng  state ~(0,8) to (3,4); also (-2,9) from low/mixed
#     A  +2/+2  → (2,10)/(5,6)/(0,11)      → 9-lg/9-ng
#     B   0/+2  → (0,10)/(3,6)/(-2,11)     → 9-ng/9-lg
#     C  -2/+2  → (-2,10)/(1,6)/(-4,11)    → 9-cg/9-ng
#   8-cg  state ~(-5,11) to (-10,12); also (-2,10)/(-6,7) from mixed
#     A  -1/+3  → (-6,14)/(-11,15)/(-7,10) → 9-cg
#     B  -2/+2  → (-7,13)/(-12,14)/(-8,9)  → 9-cg
#     C  -3/+1  → (-8,12)/(-13,13)/(-9,8)  → 9-cg
#   8-ln  state ~(7,3) to (11,3); also (8,1)/(5,2)/(6,0)
#     A  +3/ 0  → (10,3)/(14,3)/(8,1)/(9,0) → 9-lg/9-ln
#     B  +2/+1  → (9,4)/(13,4)/(7,3)/(8,1)  → 9-lg/9-ln
#     C  -2/+2  → (5,5)/(9,5)/(3,4)/(4,2)   → 9-lg
#   8-tn  state ~(0,1) to (3,2); also (1,0)/(0,-1)
#     A  +2/+1  → (2,2)/(5,3)/(3,1)/(2,0)   → 9-lg/9-ln
#     B   0/ 0  → (0,1)/(3,2)/(1,0)/(0,-1)  → 9-tn/9-lg
#     C  -2/-3  → (-2,-2)/(1,-1)/(-1,-3)/(-2,-4) → 9-ce/9-tn/9-ne
#   8-cn  state ~(-8,3) to (-13,4); also (-9,-2)/(-6,2)/(-12,1)
#     A  -1/+2  → (-9,5)/(-14,6)/(-10,0)/(-7,4)/(-13,3) → 9-cg/9-cn
#     B  -2/ 0  → (-10,3)/(-15,4)/(-11,-2)/(-8,2)/(-14,1) → 9-cg/9-cn/9-ce
#     C  -2/-3  → (-10,0)/(-15,1)/(-11,-5)/(-8,-1)/(-14,-2) → 9-cn/9-ce
#   8-le  state ~(9,-8) to (11,-12); also (10,-5)/(8,-2)/(6,-6)/(2,-13)
#     A  +2/-3  → (11,-11)/(13,-15)/(12,-8)/(10,-5)/(4,-16) → 9-le
#     B  +3/-1  → (12,-9)/(14,-13)/(13,-6)/(11,-3)/(5,-14) → 9-le
#     C  +1/-4  → (10,-12)/(12,-16)/(11,-9)/(9,-6)/(3,-17) → 9-le
#   8-ne  state ~(-1,-14) to (1,-15); also (2,-13)/(3,-17)/(-2,-9)/(-2,-7)
#     A   0/-3  → (-1,-17)/(1,-18)/(2,-16)/(3,-20)/(-2,-12)/(-2,-10) → 9-ne
#     B  +2/-2  → (1,-16)/(3,-17)/(4,-15)/(5,-19)/(0,-11)/(0,-9)     → 9-ne/9-le
